method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.005430;1.657130E+001;3;1
XPBD;1;2;0.008518;1.269064E+001;3;2
XPBD;1;4;0.014066;8.248942E+000;3;4
XPBD;1;8;0.027163;4.709681E+000;3;8
XPBD;1;12;0.038464;3.347761E+000;3;12
XPBD;1;16;0.051790;2.652065E+000;3;16
XPBD;1;24;0.076373;1.950737E+000;3;24
XPBD;1;32;0.101259;1.589786E+000;3;32
XPBD;2;1;0.010537;8.892466E+000;3;2
XPBD;2;2;0.016417;5.115719E+000;3;4
XPBD;2;4;0.028668;2.800254E+000;3;8
XPBD;2;8;0.053006;1.585658E+000;3;16
XPBD;2;12;0.077622;1.147096E+000;3;24
XPBD;2;16;0.103538;9.002942E-001;3;32
XPBD;2;24;0.152297;6.186664E-001;3;48
XPBD;2;32;0.202487;4.653462E-001;3;64
XPBD;4;1;0.020026;3.354300E+000;3;4
XPBD;4;2;0.032754;1.768005E+000;3;8
XPBD;4;4;0.057084;9.266523E-001;3;16
XPBD;4;8;0.107828;4.351788E-001;3;32
XPBD;4;12;0.156301;2.557250E-001;3;48
XPBD;4;16;0.206786;1.767856E-001;3;64
XPBD;4;24;0.307928;1.255581E-001;3;96
XPBD;4;32;0.404708;1.151551E-001;3;128
XPBD;8;1;0.040169;1.220273E+000;3;8
XPBD;8;2;0.065773;5.337022E-001;3;16
XPBD;8;4;0.115034;1.906970E-001;3;32
XPBD;8;8;0.215079;7.323408E-002;3;64
XPBD;8;12;0.313235;6.483312E-002;3;96
XPBD;8;16;0.414553;6.425890E-002;3;128
XPBD;8;24;0.611014;6.408948E-002;3;192
XPBD;8;32;0.810207;6.400710E-002;3;256
XPBD;12;1;0.060381;6.393832E-001;3;12
XPBD;12;2;0.100133;2.190153E-001;3;24
XPBD;12;4;0.175568;6.450217E-002;3;48
XPBD;12;8;0.320706;4.864841E-002;3;96
XPBD;12;12;0.470947;4.836846E-002;3;144
XPBD;12;16;0.618588;4.816699E-002;3;192
XPBD;12;24;0.925223;4.827686E-002;3;288
XPBD;12;32;1.220981;4.827686E-002;3;384
XPBD;16;1;0.081668;3.979318E-001;3;16
XPBD;16;2;0.130864;1.126787E-001;3;32
XPBD;16;4;0.230909;4.917260E-002;3;64
XPBD;16;8;0.429439;4.648865E-002;3;128
XPBD;16;12;0.627088;4.616105E-002;3;192
XPBD;16;16;0.834963;4.603268E-002;3;256
XPBD;16;24;1.229393;4.603268E-002;3;384
XPBD;16;32;1.621541;4.603268E-002;3;512
XPBD;24;1;0.120676;1.920335E-001;3;24
XPBD;24;2;0.196264;5.559517E-002;3;48
XPBD;24;4;0.346963;4.131257E-002;3;96
XPBD;24;8;0.644657;4.102885E-002;3;192
XPBD;24;12;0.941798;4.102885E-002;3;288
XPBD;24;16;1.251662;4.102885E-002;3;384
XPBD;24;24;1.833329;4.102885E-002;3;576
XPBD;24;32;2.433808;4.102885E-002;3;768
XPBD;32;1;0.161884;1.199002E-001;3;32
XPBD;32;2;0.264203;4.117581E-002;3;64
XPBD;32;4;0.462197;3.583684E-002;3;128
XPBD;32;8;0.856529;4.108263E-002;3;256
XPBD;32;12;1.253855;4.108263E-002;3;384
XPBD;32;16;1.653227;4.108263E-002;3;512
XPBD;32;24;2.460334;4.108263E-002;3;768
XPBD;32;32;3.244184;4.108263E-002;3;1024
VBD;1;1;0.009238;6.063122E-001;3;1
VBD;1;2;0.015019;NaN;3;2
VBD;1;4;0.027302;1.034401E+008;3;4
VBD;1;8;0.051980;8.515589E+000;3;8
VBD;1;12;0.075333;6.107947E-001;3;12
VBD;1;16;0.099643;4.885044E-001;3;16
VBD;1;24;0.146523;4.437973E-001;3;24
VBD;1;32;0.196986;4.320304E-001;3;32
VBD;2;1;0.017667;2.662451E-001;3;2
VBD;2;2;0.029658;NaN;3;4
VBD;2;4;0.053698;2.795991E+000;3;8
VBD;2;8;0.102229;1.032351E+000;3;16
VBD;2;12;0.149462;4.908601E-001;3;24
VBD;2;16;0.198861;3.103407E-001;3;32
VBD;2;24;0.292399;2.330370E-001;3;48
VBD;2;32;0.388041;2.220371E-001;3;64
VBD;4;1;0.034845;1.265381E-001;3;4
VBD;4;2;0.058716;NaN;3;8
VBD;4;4;0.107453;4.978410E+000;3;16
VBD;4;8;0.202823;9.598377E-001;3;32
VBD;4;12;0.298099;4.454507E-001;3;48
VBD;4;16;0.392858;2.327755E-001;3;64
VBD;4;24;0.583813;1.286039E-001;3;96
VBD;4;32;0.778983;1.143542E-001;3;128
VBD;8;1;0.069297;7.182100E-002;3;8
VBD;8;2;0.117228;NaN;3;16
VBD;8;4;0.213089;NaN;3;32
VBD;8;8;0.408042;1.025072E+012;3;64
VBD;8;12;0.595883;4.312123E-001;3;96
VBD;8;16;0.784149;2.032632E-001;3;128
VBD;8;24;1.181628;8.093684E-002;3;192
VBD;8;32;1.547809;6.394257E-002;3;256
VBD;12;1;0.104738;5.417999E-002;3;12
VBD;12;2;0.182907;1.813820E+000;3;24
VBD;12;4;0.318657;NaN;3;48
VBD;12;8;0.604470;NaN;3;96
VBD;12;12;0.907005;4.687152E-001;3;144
VBD;12;16;1.177475;1.928758E-001;3;192
VBD;12;24;1.753860;6.598722E-002;3;288
VBD;12;32;2.326793;5.324456E-002;3;384
VBD;16;1;0.138718;4.791789E-002;3;16
VBD;16;2;0.234065;1.121716E+000;3;32
VBD;16;4;0.425403;NaN;3;64
VBD;16;8;0.812044;NaN;3;128
VBD;16;12;1.221828;5.512257E-001;3;192
VBD;16;16;1.573282;1.856997E-001;3;256
VBD;16;24;2.331779;6.581759E-002;3;384
VBD;16;32;3.130803;6.474061E-002;3;512
VBD;24;1;0.207420;4.410080E-002;3;24
VBD;24;2;0.356102;1.125740E+000;3;48
VBD;24;4;0.648983;2.020437E+000;3;96
VBD;24;8;1.211949;1.006094E+000;3;192
VBD;24;12;1.801504;3.944797E-001;3;288
VBD;24;16;2.383674;1.709167E-001;3;384
VBD;24;24;3.520835;8.579210E-002;3;576
VBD;24;32;4.694349;8.563606E-002;3;768
VBD;32;1;0.277105;5.174193E-002;3;32
VBD;32;2;0.468725;1.104422E+000;3;64
VBD;32;4;0.849714;2.924081E+000;3;128
VBD;32;8;1.627428;1.009665E+000;3;256
VBD;32;12;2.378786;3.852281E-001;3;384
VBD;32;16;3.142908;1.589459E-001;3;512
VBD;32;24;4.704601;1.294713E-001;3;768
VBD;32;32;6.291453;1.343099E-001;3;1024
