method;substeps;iterations;medianMsPerStep;rmsError;repeats
XPBD;1;1;0.005232;9.788179E-001;3
XPBD;1;2;0.007908;9.564553E-001;3
XPBD;1;4;0.014207;9.569791E-001;3
XPBD;1;8;0.026143;9.605516E-001;3
XPBD;1;12;0.039481;9.626747E-001;3
XPBD;1;16;0.051977;9.638669E-001;3
XPBD;2;1;0.010146;5.843030E-001;3
XPBD;2;2;0.016428;5.836960E-001;3
XPBD;2;4;0.029070;5.871245E-001;3
XPBD;2;8;0.053768;5.900069E-001;3
XPBD;2;12;0.078860;5.905896E-001;3
XPBD;2;16;0.103455;5.907187E-001;3
XPBD;4;1;0.020546;3.394403E-001;3
XPBD;4;2;0.032596;3.373682E-001;3
XPBD;4;4;0.057558;3.385080E-001;3
XPBD;4;8;0.108442;3.391336E-001;3
XPBD;4;12;0.157063;3.391428E-001;3
XPBD;4;16;0.207166;3.390865E-001;3
XPBD;8;1;0.040548;1.794165E-001;3
XPBD;8;2;0.065070;1.793444E-001;3
XPBD;8;4;0.115245;1.795112E-001;3
XPBD;8;8;0.214492;1.794654E-001;3
XPBD;8;12;0.314982;1.794654E-001;3
XPBD;8;16;0.413007;1.794654E-001;3
XPBD;12;1;0.060825;1.126901E-001;3
XPBD;12;2;0.097971;1.119334E-001;3
XPBD;12;4;0.172939;1.115856E-001;3
XPBD;12;8;0.321512;1.116538E-001;3
XPBD;12;12;0.470528;1.116538E-001;3
XPBD;12;16;0.620589;1.116538E-001;3
XPBD;16;1;0.081279;7.531697E-002;3
XPBD;16;2;0.131033;7.475057E-002;3
XPBD;16;4;0.230507;7.509142E-002;3
XPBD;16;8;0.429053;7.511821E-002;3
XPBD;16;12;0.632516;7.511821E-002;3
XPBD;16;16;0.825858;7.511821E-002;3
VBD;1;1;0.008336;2.227572E+000;3
VBD;1;2;0.013489;1.803802E+000;3
VBD;1;4;0.023410;1.499081E+000;3
VBD;1;8;0.043151;1.174638E+000;3
VBD;1;12;0.063214;1.047013E+000;3
VBD;1;16;0.082983;9.956965E-001;3
VBD;2;1;0.016664;1.535541E+000;3
VBD;2;2;0.026850;1.101842E+000;3
VBD;2;4;0.046948;7.388793E-001;3
VBD;2;8;0.086729;5.956473E-001;3
VBD;2;12;0.126781;5.901982E-001;3
VBD;2;16;0.166929;5.908355E-001;3
VBD;4;1;0.033299;8.365703E-001;3
VBD;4;2;0.053297;4.450676E-001;3
VBD;4;4;0.092924;3.388141E-001;3
VBD;4;8;0.172655;3.396414E-001;3
VBD;4;12;0.251889;3.396893E-001;3
VBD;4;16;0.331370;3.396854E-001;3
VBD;8;1;0.066133;3.270673E-001;3
VBD;8;2;0.105954;1.820991E-001;3
VBD;8;4;0.185714;1.801078E-001;3
VBD;8;8;0.345212;1.801162E-001;3
VBD;8;12;0.503569;1.802297E-001;3
VBD;8;16;0.662950;1.803032E-001;3
VBD;12;1;0.099030;1.704760E-001;3
VBD;12;2;0.160666;1.123094E-001;3
VBD;12;4;0.278588;1.129023E-001;3
VBD;12;8;0.521138;1.128519E-001;3
VBD;12;12;0.756052;1.127190E-001;3
VBD;12;16;0.995151;1.127479E-001;3
VBD;16;1;0.132050;1.030448E-001;3
VBD;16;2;0.212706;7.486576E-002;3
VBD;16;4;0.371195;7.501238E-002;3
VBD;16;8;0.688917;7.504849E-002;3
VBD;16;12;1.007755;7.503091E-002;3
VBD;16;16;1.336039;7.505287E-002;3
